algorithm,graph_size,nodes,edges,execution_time_ms,memory_usage_mb,path_length,iterations,complexity,source,timestamp
A*,large,1023,28006,32936.88,0.525,15,435,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.406125
A*,large,1031,45436,66227.592,0.958,10,777,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.405127
A*,large,1108,21580,26135.967,0.413,9,546,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.406125
A*,large,1112,8560,11213.085,0.165,12,694,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.406125
A*,large,1221,8942,11786.999,0.198,7,534,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.405127
A*,large,1322,41531,54694.681,0.893,11,947,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.406125
A*,large,1352,5650,9076.804,0.118,5,865,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.407140
A*,large,1353,28640,40561.407,0.544,5,866,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.406125
A*,large,1515,18999,27060.492,0.412,11,651,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.405127
A*,large,1781,41206,42202.999,0.78,20,841,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.405127
A*,large,1798,38193,38978.879,0.836,17,782,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.405127
A*,large,1812,47263,53399.871,0.998,5,1217,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.405127
A*,large,1871,10451,12530.425,0.22,17,1081,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.407140
A*,large,1977,31707,45964.725,0.69,13,1332,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.405127
A*,large,1983,43067,55224.415,0.899,10,1337,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.407140
A*,large,2139,6138,9886.623,0.154,5,1553,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.405127
A*,large,2400,14429,23202.555,0.306,8,1651,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.405127
A*,large,2662,8242,15237.138,0.188,14,1893,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.405127
A*,large,2753,21060,25490.497,0.469,15,1547,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.407140
A*,large,2892,22255,24847.38,0.462,11,1581,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.405127
A*,large,2925,24026,32707.079,0.483,7,1693,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.405127
A*,large,2998,24856,39338.859,0.495,7,1874,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.406125
A*,large,3016,10208,12858.77,0.22,6,1315,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.407140
A*,large,3066,9280,17737.744,0.204,16,2118,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.406125
A*,large,3100,30635,45656.526,0.66,17,1419,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.405127
A*,large,3110,47509,70809.788,1.019,19,2167,O(E),Academic Research & DIMACS Benchmarks,2025-11-19T20:43:57.405127
