algorithm,graph_size,nodes,edges,execution_time_ms,memory_usage_mb,path_length,total_weight,iterations,nodes_explored,success,complexity,efficiency_score,throughput,memory_efficiency
A*,small,12,26,0.5441999996946834,0.00238037109375,3,82,5,5,True,O(E log V),0.0032921909207953843,9.170946446808589,1479.1275458616208
Dijkstra,small,12,26,1.184599999760394,0.00145721435546875,3,82,5,5,True,O(E log V),0.005659753775057718,4.217273954968357,2034.824511289401
Bellman-Ford,small,12,26,0.5949000001237437,0.00360107421875,3,82,4,12,True,O(V * E),0.004003006451610127,20.13760697685534,2608.0865966252786
BFS,small,12,26,0.25340000001961016,0.0022430419921875,3,82,10,10,True,O(V + E),0.0019919694349106658,39.3081760975989,3083.524673467083
DFS,small,12,26,0.16340000001946464,0.00188446044921875,9,430,9,9,True,O(V + E),0.0014616986754372148,54.74452554096361,3120.1675871262614
Multi-Source-BFS,small,12,26,0.105000000075961,0.0023956298828125,3,82,10,10,True,O(V + E),0.0014185216516309157,94.33962257390442,2944.9617140597475
Topological-Sort,small,12,26,0.2589000000625674,0.0020904541015625,12,12,12,12,True,O(V + E),0.0019537837706696433,46.17160445213991,3882.9245171228818
A*,small,12,27,0.257900000178779,0.00226593017578125,3,54,5,5,True,O(E log V),0.0020204890844880757,19.312475846069272,1530.9574090339943
Dijkstra,small,12,27,0.16290000030494411,0.00098419189453125,3,54,4,4,True,O(E log V),0.001095372311067225,24.405125030859065,2015.9340490325756
Bellman-Ford,small,12,27,0.457399999959307,0.00252532958984375,3,54,4,12,True,O(V * E),0.0029793140594914823,26.178010473528058,3403.93704877162
BFS,small,12,27,0.05449999980555731,0.0021514892578125,2,66,3,3,True,O(V + E),0.0011036116870215297,54.05405424343091,951.9308982453422
DFS,small,12,27,0.1336000000264903,0.00164031982421875,7,358,8,8,True,O(V + E),0.0012353878188905557,59.43536402990742,3029.9359670819945
Multi-Source-BFS,small,12,27,0.10089999977935804,0.0021209716796875,2,66,3,3,True,O(V + E),0.0012898653531283057,29.440628130479272,961.2390972738295
Topological-Sort,small,12,27,0.2791000001707289,0.0020904541015625,12,12,12,12,True,O(V + E),0.0020402428029625817,42.84184217310125,3882.9245171228818
A*,small,12,26,0.285100000382954,0.002532958984375,3,28,6,6,True,O(E log V),0.002244930525191635,20.971688192830506,1698.2931380001382
Dijkstra,small,12,26,0.15380000013465178,0.0019073486328125,3,28,6,6,True,O(E log V),0.0014298682085490072,38.759689888765756,2063.7359869001134
Bellman-Ford,small,12,26,0.37200000042503234,0.00252532958984375,3,28,4,12,True,O(V * E),0.002613789243748163,32.17158173277758,3403.93704877162
BFS,small,12,26,0.06849999999758438,0.0024261474609375,3,28,9,9,True,O(V + E),0.0012746414709734158,129.49640288219877,2626.857163216589
DFS,small,12,26,0.08639999987281044,0.00106048583984375,4,190,4,4,True,O(V + E),0.0007988040722487928,45.76659045561822,1941.289730146035
Multi-Source-BFS,small,12,26,0.11459999996077386,0.0023956298828125,3,28,9,9,True,O(V + E),0.001459611092007596,77.85467130669497,2650.465542653773
Topological-Sort,small,12,26,0.22059999992052326,0.0020599365234375,12,12,12,12,True,O(V + E),0.0017775087236073079,54.15162456815792,3921.6499780588024
A*,small,12,26,0.1480999999330379,0.00206756591796875,2,9,2,2,True,O(E log V),0.001470284166588994,13.4138162367419,651.98272946139
Dijkstra,small,12,26,0.08439999965048628,0.00075531005859375,2,9,2,2,True,O(E log V),0.0006667907912697238,23.41920384291959,1139.3998400500714
Bellman-Ford,small,12,26,0.3271999999014952,0.00270843505859375,2,9,4,12,True,O(V * E),0.0024961103053565328,36.56307130896295,3235.8662914136175
BFS,small,12,26,0.044800000068789814,0.001953125,2,9,2,2,True,O(V + E),0.0009818497953693508,43.66812220515454,677.2486772486773
DFS,small,12,26,0.1262999999198655,0.00157928466796875,7,306,7,7,True,O(V + E),0.001179452126803592,54.98821684529813,2713.930760311413
Multi-Source-BFS,small,12,26,0.13910000006944756,0.0021209716796875,2,9,2,2,True,O(V + E),0.001453367087830608,14.27551748043255,640.8260648492197
Topological-Sort,small,12,26,0.21999999989930075,0.0021209716796875,12,12,12,12,True,O(V + E),0.0017996312294313766,54.298642558677976,3844.956389095318
A*,small,12,26,0.30010000000402215,0.002532958984375,3,81,6,6,True,O(E log V),0.0023091327749286536,19.926934572965298,1698.2931380001382
Dijkstra,small,12,26,0.17900000011650263,0.0018463134765625,3,81,6,6,True,O(E log V),0.0015130373947850246,33.33333331175877,2107.989878629326
Bellman-Ford,small,12,26,0.4019000002699613,0.00252532958984375,3,81,3,12,True,O(V * E),0.002741765730793184,29.784065504987478,3403.93704877162
BFS,small,12,26,0.11059999997087289,0.0023651123046875,3,81,8,8,True,O(V + E),0.001430145193703817,71.68458783232944,2377.335219646679
DFS,small,12,26,0.07249999998748535,0.00099945068359375,3,177,3,3,True,O(V + E),0.0007146193905111075,40.81632653756193,1500.412100491468
Multi-Source-BFS,small,12,26,0.10590000010779477,0.0023345947265625,3,81,8,8,True,O(V + E),0.0013976831908794432,74.83629552790495,2399.0921404253763
Topological-Sort,small,12,26,0.2540999998927873,0.00147247314453125,12,12,12,12,True,O(V + E),0.0016832467653193502,47.040376342780576,4853.439976301563
